id,x,y,z,au,cu
206,0,14,6,0,0
207,0,14,7,0,0
208,0,14,8,0,0
209,0,14,9,0,0
210,0,14,10,0,0
211,0,14,11,0,0
212,0,14,12,0,0
213,0,14,13,0,0
214,0,14,14,0,0
215,0,15,0,0,0
216,0,15,1,0,0
217,0,15,2,0,0
218,0,15,3,0,0
219,0,15,4,0,0
220,0,15,5,0,0
221,0,15,6,0,0
222,0,15,7,0,0
223,0,15,8,0,0
224,0,15,9,0,0
225,0,15,10,0,0
226,0,15,11,0,0
227,0,15,12,0,0
228,0,15,13,0,0
229,0,15,14,0,0
230,0,16,0,0,0
231,0,16,1,0,0
232,0,16,2,0,0
233,0,16,3,0,0
234,0,16,4,0,0
235,0,16,5,0,0
236,0,16,6,0,0
237,0,16,7,0,0
238,0,16,8,0,0
239,0,16,9,0,0
240,0,16,10,0,0
241,0,16,11,0,0
242,0,16,12,0,0
243,0,16,13,0,0
244,0,16,14,0,0
245,0,17,0,0,0
246,0,17,1,0,0
247,0,17,2,0,0
248,0,17,3,0,0
249,0,17,4,0,0
250,0,17,5,0,0
251,0,17,6,0,0
252,0,17,7,0,0
253,0,17,8,0,0
254,0,17,9,0,0
255,0,17,10,0,0
256,0,17,11,0,0
257,0,17,12,0,0
258,0,17,13,0,0
259,0,17,14,0,0
260,0,18,0,0,0
261,0,18,1,0,0
262,0,18,2,0,0
263,0,18,3,0,0
264,0,18,4,0,0
265,0,18,5,0,0
266,0,18,6,0,0
267,0,18,7,0,0
268,0,18,8,0,0
269,0,18,9,0,0
270,0,18,10,0,0
271,0,18,11,0,0
272,0,18,12,0,0
273,0,18,13,0,0
274,0,18,14,0,0
275,0,19,0,0,0
276,0,19,1,0,0
277,0,19,2,0,0
278,0,19,3,0,0
279,0,19,4,0,0
280,0,19,5,0,0
281,0,19,6,0,0
282,0,19,7,0,0
283,0,19,8,0,0
284,0,19,9,0,0
285,0,19,10,0,0
286,0,19,11,0,0
287,0,19,12,0,0
288,0,19,13,0,0
289,0,19,14,0,0
290,0,20,0,0,0
291,0,20,1,0,0
292,0,20,2,0,0
293,0,20,3,0,0
294,0,20,4,0,0
295,0,20,5,0,0
296,0,20,6,0,0
297,0,20,7,0,0
298,0,20,8,0,0
299,0,20,9,0,0
300,0,20,10,0,0
301,0,20,11,0,0
302,0,20,12,0,0
303,0,20,13,0,0
304,0,20,14,0,0
305,0,21,0,0,0
306,0,21,1,0,0
307,0,21,2,0,0
308,0,21,3,0,0
309,0,21,4,0,0
310,0,21,5,0,0
311,0,21,6,0,0
312,0,21,7,0,0
313,0,21,8,0,0
314,0,21,9,0,0
315,0,21,10,0,0
316,0,21,11,0,0
317,0,21,12,0,0
318,0,21,13,0,0
319,0,21,14,0,0
320,0,22,0,0,0
321,0,22,1,0,0
322,0,22,2,0,0
323,0,22,3,0,0
324,0,22,4,0,0
325,0,22,5,0,0
326,0,22,6,0,0
327,0,22,7,0,0
328,0,22,8,0,0
329,0,22,9,0,0
330,0,22,10,0,0
331,0,22,11,0,0
332,0,22,12,0,0
333,0,22,13,0,0
334,0,22,14,0,0
335,0,23,0,0,0
336,0,23,1,0,0
337,0,23,2,0,0
338,0,23,3,0,0
339,0,23,4,0,0
340,0,23,5,0,0
341,0,23,6,0,0
342,0,23,7,0,0
343,0,23,8,0,0
344,0,23,9,0,0
345,0,23,10,0,0
346,0,23,11,0,0
347,0,23,12,0,0
348,0,23,13,0,0
349,0,23,14,0,0
350,0,24,0,0,0
351,0,24,1,0,0
352,0,24,2,0,0
353,0,24,3,0,0
354,0,24,4,0,0
355,0,24,5,0,0
356,0,24,6,0,0
357,0,24,7,0,0
358,0,24,8,0,0
359,0,24,9,0,0
360,0,24,10,0,0
361,0,24,11,0,0
362,0,24,12,0,0
363,0,24,13,0,0
364,0,24,14,0,0
365,0,25,0,0,0
366,0,25,1,0,0
367,0,25,2,0,0
368,0,25,3,0,0
369,0,25,4,0,0
370,0,25,5,0,0
371,0,25,6,0,0
372,0,25,7,0,0
373,0,25,8,0,0
374,0,25,9,0,0
375,0,25,10,0,0
376,0,25,11,0,0
377,0,25,12,0,0
378,0,25,13,0,0
379,0,25,14,0,0
380,0,26,0,0,0
381,0,26,1,0,0
382,0,26,2,0,0
383,0,26,3,0,0
384,0,26,4,0,0
385,0,26,5,0,0
386,0,26,6,0,0
387,0,26,7,0,0
388,0,26,8,0,0
389,0,26,9,0,0
390,0,26,10,0,0
391,0,26,11,0,0
392,0,26,12,0,0
393,0,26,13,0,0
394,0,26,14,0,0
395,0,27,0,0,0
396,0,27,1,0,0
397,0,27,2,0,0
398,0,27,3,0,0
399,0,27,4,0,0
400,0,27,5,0,0
401,0,27,6,0,0
402,0,27,7,0,0
403,0,27,8,0,0
404,0,27,9,0,0
405,0,27,10,0,0
406,0,27,11,0,0
407,0,27,12,0,0
408,0,27,13,0,0
409,0,27,14,0,0
410,0,28,0,0,0
411,0,28,1,0,0
412,0,28,2,0,0
413,0,28,3,0,0
414,0,28,4,0,0
415,0,28,5,0,0
416,0,28,6,0,0
417,0,28,7,0,0
418,0,28,8,0,0
419,0,28,9,0,0
420,0,28,10,0,0
421,0,28,11,0,0
422,0,28,12,0,0
423,0,28,13,0,0
424,0,28,14,0,0
425,0,29,0,0,0
426,0,29,1,0,0
427,0,29,2,0,0
428,0,29,3,0,0
429,0,29,4,0,0
430,0,29,5,0,0
431,0,29,6,0,0
432,0,29,7,0,0
433,0,29,8,0,0
434,0,29,9,0,0
435,0,29,10,0,0
436,0,29,11,0,0
437,0,29,12,0,0
438,0,29,13,0,0
439,0,29,14,0,0
440,0,30,0,0,0
441,0,30,1,0,0
442,0,30,2,0,0
443,0,30,3,0,0
444,0,30,4,0,0
445,0,30,5,0,0
446,0,30,6,0,0
447,0,30,7,0,0
448,0,30,8,0,0
449,0,30,9,0,0
450,0,30,10,0,0
451,0,30,11,0,0
452,0,30,12,0,0
453,0,30,13,0,0
454,0,30,14,0,0
455,0,31,0,0,0
456,0,31,1,0,0
457,0,31,2,0,0
458,0,31,3,0,0
459,0,31,4,0,0
460,0,31,5,0,0
461,0,31,6,0,0
462,0,31,7,0,0
463,0,31,8,0,0
464,0,31,9,0,0
465,0,31,10,0,0
466,0,31,11,0,0
467,0,31,12,0,0
468,0,31,13,0,0
469,0,31,14,0,0
470,0,32,0,0,0
471,0,32,1,0,0
472,0,32,2,0,0
473,0,32,3,0,0
474,0,32,4,0,0
475,0,32,5,0,0
476,0,32,6,0,0
477,0,32,7,0,0
478,0,32,8,0,0
479,0,32,9,0,0
480,0,32,10,0,0
481,0,32,11,0,0
482,0,32,12,0,0
483,0,32,13,0,0
484,0,32,14,0,0
485,0,33,0,0,0
486,0,33,1,0,0
487,0,33,2,0,0
488,0,33,3,0,0
489,0,33,4,0,0
490,0,33,5,0,0
491,0,33,6,0,0
492,0,33,7,0,0
493,0,33,8,0,0
494,0,33,9,0,0
495,0,33,10,0,0
496,0,33,11,0,0
497,0,33,12,0,0
498,0,33,13,0,0
499,0,33,14,0,0
500,0,34,0,0,0
501,0,34,1,0,0
502,0,34,2,0,0
503,0,34,3,0,0
504,0,34,4,0,0
505,0,34,5,0,0
506,0,34,6,0,0
507,0,34,7,0,0
508,0,34,8,0,0
509,0,34,9,0,0
510,0,34,10,0,0
511,0,34,11,0,0
512,0,34,12,0,0
513,0,34,13,0,0
514,0,34,14,0,0
515,0,35,0,0,0
516,0,35,1,0,0
517,0,35,2,0,0
518,0,35,3,0,0
519,0,35,4,0,0
520,0,35,5,0,0
521,0,35,6,0,0
522,0,35,7,0,0
523,0,35,8,0,0
524,0,35,9,0,0
525,0,35,10,0,0
526,0,35,11,0,0
527,0,35,12,0,0
528,0,35,13,0,0
529,0,35,14,0,0
530,0,36,0,0,0
531,0,36,1,0,0
532,0,36,2,0,0
533,0,36,3,0,0
534,0,36,4,0,0
535,0,36,5,0,0
536,0,36,6,0,0
537,0,36,7,0,0
538,0,36,8,0,0
539,0,36,9,0,0
540,0,36,10,0,0
541,0,36,11,0,0
542,0,36,12,0,0
543,0,36,13,0,0
544,0,36,14,0,0
545,0,37,0,0,0
546,0,37,1,0,0
547,0,37,2,0,0
548,0,37,3,0,0
549,0,37,4,0,0
550,0,37,5,0,0
551,0,37,6,0,0
552,0,37,7,0,0
553,0,37,8,0,0
554,0,37,9,0,0
555,0,37,10,0,0
556,0,37,11,0,0
557,0,37,12,0,0
558,0,37,13,0,0
559,0,37,14,0,0
560,0,38,0,0,0
561,0,38,1,0,0
562,0,38,2,0,0
563,0,38,3,0,0
564,0,38,4,0,0
565,0,38,5,0,0
566,0,38,6,0,0
567,0,38,7,0,0
568,0,38,8,0,0
569,0,38,9,0,0
570,0,38,10,0,0
571,0,38,11,0,0
572,0,38,12,0,0
573,0,38,13,0,0
574,0,38,14,0,0
575,0,39,0,0,0
576,0,39,1,0,0
577,0,39,2,0,0
578,0,39,3,0,0
579,0,39,4,0,0
580,0,39,5,0,0
581,0,39,6,0,0
582,0,39,7,0,0
583,0,39,8,0,0
584,0,39,9,0,0
585,0,39,10,0,0
586,0,39,11,0,0
587,0,39,12,0,0
588,0,39,13,0,0
589,0,39,14,0,0
590,0,40,0,0,0
591,0,40,1,0,0
592,0,40,2,0,0
593,0,40,3,0,0
594,0,40,4,0,0
595,0,40,5,0,0
596,0,40,6,0,0
597,0,40,7,0,0
598,0,40,8,0,0
599,0,40,9,0,0
600,0,40,10,0,0
601,0,40,11,0,0
602,0,40,12,0,0
603,0,40,13,0,0
604,0,40,14,0,0
605,0,41,0,0,0
606,0,41,1,0,0
607,0,41,2,0,0
608,0,41,3,0,0
609,0,41,4,0,0
610,0,41,5,0,0
611,0,41,6,0,0
612,0,41,7,0,0
613,0,41,8,0,0
614,0,41,9,0,0
615,0,41,10,0,0
616,0,41,11,0,0
617,0,41,12,0,0
618,0,41,13,0,0
619,0,41,14,0,0
620,0,42,0,0,0
621,0,42,1,0,0
622,0,42,2,0,0
623,0,42,3,0,0
624,0,42,4,0,0
625,0,42,5,0,0
626,0,42,6,0,0
627,0,42,7,0,0
628,0,42,8,0,0
629,0,42,9,0,0
630,0,42,10,0,0
631,0,42,11,0,0
632,0,42,12,0,0
633,0,42,13,0,0
634,0,42,14,0,0
635,0,43,0,0,0
636,0,43,1,0,0
637,0,43,2,0,0
638,0,43,3,0,0
639,0,43,4,0,0
640,0,43,5,0,0
641,0,43,6,0,0
642,0,43,7,0,0
643,0,43,8,0,0
644,0,43,9,0,0
645,0,43,10,0,0
646,0,43,11,0,0
647,0,43,12,0,0
648,0,43,13,0,0
649,0,43,14,0,0
650,0,44,0,0,0
651,0,44,1,0,0
652,0,44,2,0,0
653,0,44,3,0,0
654,0,44,4,0,0
655,0,44,5,0,0
656,0,44,6,0,0
657,0,44,7,0,0
658,0,44,8,0,0
659,0,44,9,0,0
660,0,44,10,0,0
661,0,44,11,0,0
662,0,44,12,0,0
663,0,44,13,0,0
664,0,44,14,0,0
665,0,45,0,0,0
666,0,45,1,0,0
667,0,45,2,0,0
668,0,45,3,0,0
669,0,45,4,0,0
670,0,45,5,0,0
671,0,45,6,0,0
672,0,45,7,0,0
673,0,45,8,0,0
674,0,45,9,0,0
675,0,45,10,0,0
676,0,45,11,0,0
677,0,45,12,0,0
678,0,45,13,0,0
679,0,45,14,0,0
680,0,46,0,0,0
681,0,46,1,0,0
682,0,46,2,0,0
683,0,46,3,0,0
684,0,46,4,0,0
685,0,46,5,0,0
686,0,46,6,0,0
687,0,46,7,0,0
688,0,46,8,0,0
689,0,46,9,0,0
690,0,46,10,0,0
691,0,46,11,0,0
692,0,46,12,0,0
693,0,46,13,0,0
694,0,46,14,0,0
695,0,47,0,0,0
696,0,47,1,0,0
697,0,47,2,0,0
698,0,47,3,0,0
699,0,47,4,0,0
700,0,47,5,0,0
701,0,47,6,0,0
702,0,47,7,0,0
703,0,47,8,0,0
704,0,47,9,0,0
705,0,47,10,0,0
706,0,47,11,0,0
707,0,47,12,0,0
708,0,47,13,0,0
709,0,47,14,0,0
710,0,48,0,0,0
711,0,48,1,0,0
712,0,48,2,0,0
713,0,48,3,0,0
714,0,48,4,0,0
715,0,48,5,0,0
716,0,48,6,0,0
717,0,48,7,0,0
718,0,48,8,0,0
719,0,48,9,0,0
720,0,48,10,0,0
721,0,48,11,0,0
722,0,48,12,0,0
723,0,48,13,0,0
724,0,48,14,0,0
725,0,49,0,0,0
726,0,49,1,0,0
727,0,49,2,0,0
728,0,49,3,0,0
729,0,49,4,0,0
730,0,49,5,0,0
731,0,49,6,0,0
732,0,49,7,0,0
733,0,49,8,0,0
734,0,49,9,0,0
735,0,49,10,0,0
736,0,49,11,0,0
737,0,49,12,0,0
738,0,49,13,0,0
739,0,49,14,0,0
740,0,50,0,0,0
741,0,50,1,0,0
742,0,50,2,0,0
743,0,50,3,0,0
744,0,50,4,0,0
745,0,50,5,0,0
746,0,50,6,0,0
747,0,50,7,0,0
748,0,50,8,0,0
749,0,50,9,0,0
750,0,50,10,0,0
751,0,50,11,0,0
752,0,50,12,0,0
753,0,50,13,0,0
754,0,50,14,0,0
755,0,51,0,0,0
756,0,51,1,0,0
757,0,51,2,0,0
758,0,51,3,0,0
759,0,51,4,0,0
760,0,51,5,0,0
761,0,51,6,0,0
762,0,51,7,0,0
763,0,51,8,0,0
764,0,51,9,0,0
765,0,51,10,0,0
766,0,51,11,0,0
767,0,51,12,0,0
768,0,51,13,0,0
769,0,51,14,0,0
770,0,52,0,0,0
771,0,52,1,0,0
772,0,52,2,0,0
773,0,52,3,0,0
774,0,52,4,0,0
775,0,52,5,0,0
776,0,52,6,0,0
777,0,52,7,0,0
778,0,52,8,0,0
779,0,52,9,0,0
780,0,52,10,0,0
781,0,52,11,0,0
782,0,52,12,0,0
783,0,52,13,0,0
784,0,52,14,0,0
785,0,53,0,0,0
786,0,53,1,0,0
787,0,53,2,0,0
788,0,53,3,0,0
789,0,53,4,0,0
790,0,53,5,0,0
791,0,53,6,0,0
792,0,53,7,0,0
793,0,53,8,0,0
794,0,53,9,0,0
795,0,53,10,0,0
796,0,53,11,0,0
797,0,53,12,0,0
798,0,53,13,0,0
799,0,53,14,0,0
800,0,54,0,0,0
801,0,54,1,0,0
802,0,54,2,0,0
803,0,54,3,0,0
804,0,54,4,0,0
805,0,54,5,0,0
806,0,54,6,0,0
807,0,54,7,0,0
808,0,54,8,0,0
809,0,54,9,0,0
810,0,54,10,0,0
811,0,54,11,0,0
812,0,54,12,0,0
813,0,54,13,0,0
814,0,54,14,0,0
815,0,55,0,0,0
816,0,55,1,0,0
817,0,55,2,0,0
818,0,55,3,0,0
819,0,55,4,0,0
820,0,55,5,0,0
821,0,55,6,0,0
822,0,55,7,0,0
823,0,55,8,0,0
824,0,55,9,0,0
825,0,55,10,0,0
826,0,55,11,0,0
827,0,55,12,0,0
828,0,55,13,0,0
829,0,55,14,0,0
830,0,56,0,0,0
831,0,56,1,0,0
832,0,56,2,0,0
833,0,56,3,0,0
834,0,56,4,0,0
835,0,56,5,0,0
836,0,56,6,0,0
837,0,56,7,0,0
838,0,56,8,0,0
839,0,56,9,0,0
840,0,56,10,0,0
841,0,56,11,0,0
842,0,56,12,0,0
843,0,56,13,0,0
844,0,56,14,0,0
845,0,57,0,0,0
846,0,57,1,0,0
847,0,57,2,0,0
848,0,57,3,0,0
849,0,57,4,0,0
850,0,57,5,0,0
851,0,57,6,0,0
852,0,57,7,0,0
853,0,57,8,0,0
854,0,57,9,0,0
855,0,57,10,0,0
856,0,57,11,0,0
857,0,57,12,0,0
858,0,57,13,0,0
859,0,57,14,0,0
860,0,58,0,0,0
861,0,58,1,0,0
862,0,58,2,0,0
863,0,58,3,0,0
864,0,58,4,0,0
865,0,58,5,0,0
866,0,58,6,0,0
867,0,58,7,0,0
868,0,58,8,0,0
869,0,58,9,0,0
870,0,58,10,0,0
871,0,58,11,0,0
872,0,58,12,0,0
873,0,58,13,0,0
874,0,58,14,0,0
875,0,59,0,0,0
876,0,59,1,0,0
877,0,59,2,0,0
878,0,59,3,0,0
879,0,59,4,0,0
880,0,59,5,0,0
881,0,59,6,0,0
882,0,59,7,0,0
883,0,59,8,0,0
884,0,59,9,0,0
885,0,59,10,0,0
886,0,59,11,0,0
887,0,59,12,0,0
888,0,59,13,0,0
889,0,59,14,0,0
890,1,0,0,0,0
891,1,0,1,0,0
892,1,0,2,0,0
893,1,0,3,0,0
894,1,0,4,0,0
895,1,0,5,0,0
896,1,0,6,0,0
897,1,0,7,0,0
898,1,0,8,0,0
899,1,0,9,0,0
900,1,0,10,0,0
901,1,0,11,0,0
902,1,0,12,0,0
903,1,0,13,0,0
904,1,1,0,0,0
905,1,1,1,0,0
906,1,1,2,0,0
907,1,1,3,0,0
908,1,1,4,0,0
909,1,1,5,0,0
910,1,1,6,0,0
911,1,1,7,0,0
912,1,1,8,0,0
913,1,1,9,0,0
914,1,1,10,0,0
915,1,1,11,0,0
916,1,1,12,0,0
917,1,1,13,0,0
918,1,2,0,0,0
919,1,2,1,0,0
920,1,2,2,0,0
921,1,2,3,0,0
922,1,2,4,0,0
923,1,2,5,0,0
924,1,2,6,0,0
925,1,2,7,0,0
926,1,2,8,0,0
927,1,2,9,0,0
928,1,2,10,0,0
929,1,2,11,0,0
930,1,2,12,0,0
931,1,2,13,0,0
932,1,3,0,0,0
933,1,3,1,0,0
934,1,3,2,0,0
935,1,3,3,0,0
936,1,3,4,0,0
937,1,3,5,0,0
938,1,3,6,0,0
939,1,3,7,0,0
940,1,3,8,0,0
941,1,3,9,0,0
942,1,3,10,0,0
943,1,3,11,0,0
944,1,3,12,0,0
945,1,3,13,0,0
946,1,3,14,0,0
947,1,4,0,0,0
948,1,4,1,0,0
949,1,4,2,0,0
950,1,4,3,0,0
951,1,4,4,0,0
952,1,4,5,0,0
953,1,4,6,0,0
954,1,4,7,0,0
955,1,4,8,0,0
956,1,4,9,0,0
957,1,4,10,0,0
958,1,4,11,0,0
959,1,4,12,0,0
960,1,4,13,0,0
961,1,4,14,0,0
962,1,5,0,0,0
963,1,5,1,0,0
964,1,5,2,0,0
965,1,5,3,0,0
966,1,5,4,0,0
967,1,5,5,0,0
968,1,5,6,0,0
969,1,5,7,0,0
970,1,5,8,0,0
971,1,5,9,0,0
972,1,5,10,0,0
973,1,5,11,0,0
974,1,5,12,0,0
975,1,5,13,0,0
976,1,5,14,0,0
977,1,6,0,0,0
978,1,6,1,0,0
979,1,6,2,0,0
980,1,6,3,0,0
981,1,6,4,0,0
982,1,6,5,0,0
983,1,6,6,0,0
984,1,6,7,0,0
985,1,6,8,0,0
986,1,6,9,0,0
987,1,6,10,0,0
988,1,6,11,0,0
989,1,6,12,0,0
990,1,6,13,0,0
991,1,6,14,0,0
992,1,7,0,0,0
993,1,7,1,0,0
994,1,7,2,0,0
995,1,7,3,0,0
996,1,7,4,0,0
997,1,7,5,0,0
998,1,7,6,0,0
999,1,7,7,0,0
1000,1,7,8,0,0
1001,1,7,9,0,0
1002,1,7,10,0,0
1003,1,7,11,0,0
1004,1,7,12,0,0
1005,1,7,13,0,0
1006,1,8,0,0,0
1007,1,8,1,0,0
1008,1,8,2,0,0
1009,1,8,3,0,0
1010,1,8,4,0,0
1011,1,8,5,0,0
1012,1,8,6,0,0
1013,1,8,7,0,0
1014,1,8,8,0,0
1015,1,8,9,0,0
1016,1,8,10,0,0
1017,1,8,11,0,0
1018,1,8,12,0,0
1019,1,8,13,0,0
1020,1,9,0,0,0
1021,1,9,1,0,0
1022,1,9,2,0,0
1023,1,9,3,0,0
1024,1,9,4,0,0
1025,1,9,5,0,0
1026,1,9,6,0,0
1027,1,9,7,0,0
1028,1,9,8,0,0
1029,1,9,9,0,0
1030,1,9,10,0,0
1031,1,9,11,0,0
1032,1,9,12,0,0
1033,1,9,13,0,0
1034,1,10,0,0,0
1035,1,10,1,0,0
1036,1,10,2,0,0
1037,1,10,3,0,0
1038,1,10,4,0,0
1039,1,10,5,0,0
1040,1,10,6,0,0
1041,1,10,7,0,0
1042,1,10,8,0,0
1043,1,10,9,0,0
1044,1,10,10,0,0
1045,1,10,11,0,0
1046,1,10,12,0,0
1047,1,10,13,0,0
1048,1,11,0,0,0
1049,1,11,1,0,0
1050,1,11,2,0,0
1051,1,11,3,0,0
1052,1,11,4,0,0
1053,1,11,5,0,0
1054,1,11,6,0,0
1055,1,11,7,0,0
1056,1,11,8,0,0
1057,1,11,9,0,0
1058,1,11,10,0,0
1059,1,11,11,0,0
1060,1,11,12,0,0
1061,1,11,13,0,0
1062,1,11,14,0,0
1063,1,12,0,0,0
1064,1,12,1,0,0
1065,1,12,2,0,0
1066,1,12,3,0,0
1067,1,12,4,0,0
1068,1,12,5,0,0
1069,1,12,6,0,0
1070,1,12,7,0,0
1071,1,12,8,0,0
1072,1,12,9,0,0
1073,1,12,10,0,0
1074,1,12,11,0,0
1075,1,12,12,0,0
1076,1,12,13,0,0
1077,1,12,14,0,0
1078,1,13,0,0,0
1079,1,13,1,0,0
1080,1,13,2,0,0
1081,1,13,3,0,0
1082,1,13,4,0,0
1083,1,13,5,0,0
1084,1,13,6,0,0
1085,1,13,7,0,0
1086,1,13,8,0,0
1087,1,13,9,0,0
1088,1,13,10,0,0
1089,1,13,11,0,0
1090,1,13,12,0,0
1091,1,13,13,0,0
1092,1,13,14,0,0
1093,1,14,0,0,0
1094,1,14,1,0,0
1095,1,14,2,0,0
1096,1,14,3,0,0
1097,1,14,4,0,0
1098,1,14,5,0,0
1099,1,14,6,0,0
1100,1,14,7,0,0
1101,1,14,8,0,0
1102,1,14,9,0,0
1103,1,14,10,0,0
1104,1,14,11,0,0
1105,1,14,12,0,0
1106,1,14,13,0,0
1107,1,14,14,0,0
1108,1,15,0,0,0
1109,1,15,1,0,0
1110,1,15,2,0,0
1111,1,15,3,0,0
1112,1,15,4,0,0
1113,1,15,5,0,0
1114,1,15,6,0,0
1115,1,15,7,0,0
1116,1,15,8,0,0
1117,1,15,9,0,0
1118,1,15,10,0,0
1119,1,15,11,0,0
1120,1,15,12,0,0
1121,1,15,13,0,0
1122,1,15,14,0,0
1123,1,16,0,0,0
1124,1,16,1,0,0
1125,1,16,2,0,0
1126,1,16,3,0,0
1127,1,16,4,0,0
1128,1,16,5,0,0
1129,1,16,6,0,0
1130,1,16,7,0,0
1131,1,16,8,0,0
1132,1,16,9,0,0
1133,1,16,10,0,0
1134,1,16,11,0,0
1135,1,16,12,0,0
1136,1,16,13,0,0
1137,1,16,14,0,0
1138,1,17,0,0,0
1139,1,17,1,0,0
1140,1,17,2,0,0
1141,1,17,3,0,0
1142,1,17,4,0,0
1143,1,17,5,0,0
1144,1,17,6,0,0
1145,1,17,7,0,0
1146,1,17,8,0,0
1147,1,17,9,0,0
1148,1,17,10,0,0
1149,1,17,11,0,0
1150,1,17,12,0,0
