x,y,z,dx,dy,dz,density,is_ore,rock_type,cu_grade
10,20,85,10,10,5,2.7,True,Ore,0.40663967994091155
10,20,90,10,10,5,2.7,True,Ore,0.40663967994091155
10,20,95,10,10,5,2.7,True,Ore,0.40663967994091155
10,20,100,10,10,5,2.7,True,Ore,0.40663967994091155
20,20,80,10,10,5,2.7,True,Ore,0.40663967994091155
20,20,85,10,10,5,2.7,True,Ore,0.40663967994091155
20,20,90,10,10,5,2.7,True,Ore,0.40663967994091155
20,20,95,10,10,5,2.7,True,Ore,0.40663967994091155
20,20,100,10,10,5,2.7,False,Waste,0.1924273820831411
30,20,80,10,10,5,2.7,True,Ore,0.40663967994091155
30,20,85,10,10,5,2.7,True,Ore,0.40663967994091155
30,20,90,10,10,5,2.7,True,Ore,0.40663967994091155
30,20,95,10,10,5,2.7,True,Ore,0.40663967994091155
30,20,100,10,10,5,2.7,False,Waste,0.1924273820831411
40,20,80,10,10,5,2.7,True,Ore,0.40663967994091155
40,20,85,10,10,5,2.7,True,Ore,0.40663967994091155
40,20,90,10,10,5,2.7,True,Ore,0.40663967994091155
40,20,95,10,10,5,2.7,False,Waste,0.1924273820831411
40,20,100,10,10,5,2.7,False,Waste,0.1924273820831411
50,20,80,10,10,5,2.7,True,Ore,0.40663967994091155
50,20,85,10,10,5,2.7,True,Ore,0.40663967994091155
50,20,90,10,10,5,2.7,True,Ore,0.40663967994091155
50,20,95,10,10,5,2.7,False,Waste,0.1924273820831411
50,20,100,10,10,5,2.7,False,Waste,0.1924273820831411
60,20,80,10,10,5,2.7,True,Ore,0.40663967994091155
60,20,85,10,10,5,2.7,True,Ore,0.40663967994091155
60,20,90,10,10,5,2.7,True,Ore,0.40663967994091155
60,20,95,10,10,5,2.7,False,Waste,0.1924273820831411
60,20,100,10,10,5,2.7,False,Waste,0.1924273820831411
70,20,80,10,10,5,2.7,True,Ore,0.40663967994091155
70,20,85,10,10,5,2.7,True,Ore,0.40663967994091155
70,20,90,10,10,5,2.7,False,Waste,0.1924273820831411
70,20,95,10,10,5,2.7,False,Waste,0.1924273820831411
70,20,100,10,10,5,2.7,False,Waste,0.1924273820831411
80,20,80,10,10,5,2.7,True,Ore,0.40663967994091155
80,20,85,10,10,5,2.7,True,Ore,0.40663967994091155
80,20,90,10,10,5,2.7,False,Waste,0.1924273820831411
80,20,95,10,10,5,2.7,False,Waste,0.1924273820831411
80,20,100,10,10,5,2.7,False,Waste,0.1924273820831411
90,20,80,10,10,5,2.7,True,Ore,0.40663967994091155
90,20,85,10,10,5,2.7,False,Waste,0.1924273820831411
90,20,90,10,10,5,2.7,False,Waste,0.1924273820831411
90,20,95,10,10,5,2.7,False,Waste,0.1924273820831411
90,20,100,10,10,5,2.7,False,Waste,0.1924273820831411
100,20,80,10,10,5,2.7,True,Ore,0.40663967994091155
100,20,85,10,10,5,2.7,False,Waste,0.1924273820831411
100,20,90,10,10,5,2.7,False,Waste,0.1924273820831411
100,20,95,10,10,5,2.7,False,Waste,0.1924273820831411
100,20,100,10,10,5,2.7,False,Waste,0.1924273820831411
0,30,80,10,10,5,2.7,True,Ore,0.40663967994091155
0,30,85,10,10,5,2.7,True,Ore,0.40663967994091155
0,30,90,10,10,5,2.7,True,Ore,0.40663967994091155
0,30,95,10,10,5,2.7,True,Ore,0.40663967994091155
0,30,100,10,10,5,2.7,True,Ore,0.40663967994091155
10,30,80,10,10,5,2.7,True,Ore,0.40663967994091155
10,30,85,10,10,5,2.7,True,Ore,0.40663967994091155
10,30,90,10,10,5,2.7,True,Ore,0.40663967994091155
10,30,95,10,10,5,2.7,True,Ore,0.40663967994091155
10,30,100,10,10,5,2.7,False,Waste,0.1924273820831411
20,30,80,10,10,5,2.7,True,Ore,0.40663967994091155
20,30,85,10,10,5,2.7,True,Ore,0.40663967994091155
20,30,90,10,10,5,2.7,True,Ore,0.40663967994091155
20,30,95,10,10,5,2.7,True,Ore,0.40663967994091155
20,30,100,10,10,5,2.7,False,Waste,0.1924273820831411
30,30,80,10,10,5,2.7,True,Ore,0.40663967994091155
30,30,85,10,10,5,2.7,True,Ore,0.40663967994091155
30,30,90,10,10,5,2.7,True,Ore,0.40663967994091155
30,30,95,10,10,5,2.7,True,Ore,0.40663967994091155
30,30,100,10,10,5,2.7,False,Waste,0.1924273820831411
40,30,80,10,10,5,2.7,True,Ore,0.40663967994091155
40,30,85,10,10,5,2.7,True,Ore,0.40663967994091155
40,30,90,10,10,5,2.7,True,Ore,0.40663967994091155
40,30,95,10,10,5,2.7,False,Waste,0.1924273820831411
40,30,100,10,10,5,2.7,False,Waste,0.1924273820831411
50,30,80,10,10,5,2.7,True,Ore,0.40663967994091155
50,30,85,10,10,5,2.7,True,Ore,0.40663967994091155
50,30,90,10,10,5,2.7,True,Ore,0.40663967994091155
50,30,95,10,10,5,2.7,False,Waste,0.1924273820831411
50,30,100,10,10,5,2.7,False,Waste,0.1924273820831411
60,30,80,10,10,5,2.7,True,Ore,0.40663967994091155
60,30,85,10,10,5,2.7,True,Ore,0.40663967994091155
60,30,90,10,10,5,2.7,False,Waste,0.1924273820831411
60,30,95,10,10,5,2.7,False,Waste,0.1924273820831411
60,30,100,10,10,5,2.7,False,Waste,0.1924273820831411
70,30,80,10,10,5,2.7,True,Ore,0.40663967994091155
70,30,85,10,10,5,2.7,True,Ore,0.40663967994091155
70,30,90,10,10,5,2.7,False,Waste,0.1924273820831411
70,30,95,10,10,5,2.7,False,Waste,0.1924273820831411
70,30,100,10,10,5,2.7,False,Waste,0.1924273820831411
80,30,80,10,10,5,2.7,True,Ore,0.40663967994091155
80,30,85,10,10,5,2.7,True,Ore,0.40663967994091155
80,30,90,10,10,5,2.7,False,Waste,0.1924273820831411
80,30,95,10,10,5,2.7,False,Waste,0.1924273820831411
80,30,100,10,10,5,2.7,False,Waste,0.1924273820831411
90,30,80,10,10,5,2.7,True,Ore,0.40663967994091155
90,30,85,10,10,5,2.7,False,Waste,0.1924273820831411
90,30,90,10,10,5,2.7,False,Waste,0.1924273820831411
90,30,95,10,10,5,2.7,False,Waste,0.1924273820831411
90,30,100,10,10,5,2.7,False,Waste,0.1924273820831411
100,30,80,10,10,5,2.7,True,Ore,0.40663967994091155
100,30,85,10,10,5,2.7,False,Waste,0.1924273820831411
100,30,90,10,10,5,2.7,False,Waste,0.1924273820831411
100,30,95,10,10,5,2.7,False,Waste,0.1924273820831411
100,30,100,10,10,5,2.7,False,Waste,0.1924273820831411
0,40,80,10,10,5,2.7,True,Ore,0.40663967994091155
0,40,85,10,10,5,2.7,True,Ore,0.40663967994091155
0,40,90,10,10,5,2.7,True,Ore,0.40663967994091155
0,40,95,10,10,5,2.7,True,Ore,0.40663967994091155
0,40,100,10,10,5,2.7,True,Ore,0.40663967994091155
10,40,80,10,10,5,2.7,True,Ore,0.40663967994091155
10,40,85,10,10,5,2.7,True,Ore,0.40663967994091155
10,40,90,10,10,5,2.7,True,Ore,0.40663967994091155
10,40,95,10,10,5,2.7,True,Ore,0.40663967994091155
10,40,100,10,10,5,2.7,False,Waste,0.1924273820831411
20,40,80,10,10,5,2.7,True,Ore,0.40663967994091155
20,40,85,10,10,5,2.7,True,Ore,0.40663967994091155
20,40,90,10,10,5,2.7,True,Ore,0.40663967994091155
20,40,95,10,10,5,2.7,True,Ore,0.40663967994091155
20,40,100,10,10,5,2.7,False,Waste,0.1924273820831411
30,40,80,10,10,5,2.7,True,Ore,0.40663967994091155
30,40,85,10,10,5,2.7,True,Ore,0.40663967994091155
30,40,90,10,10,5,2.7,True,Ore,0.40663967994091155
30,40,95,10,10,5,2.7,False,Waste,0.1924273820831411
30,40,100,10,10,5,2.7,False,Waste,0.1924273820831411
40,40,80,10,10,5,2.7,True,Ore,0.40663967994091155
40,40,85,10,10,5,2.7,True,Ore,0.40663967994091155
40,40,90,10,10,5,2.7,True,Ore,0.40663967994091155
40,40,95,10,10,5,2.7,False,Waste,0.1924273820831411
40,40,100,10,10,5,2.7,False,Waste,0.1924273820831411
50,40,80,10,10,5,2.7,True,Ore,0.40663967994091155
50,40,85,10,10,5,2.7,True,Ore,0.40663967994091155
50,40,90,10,10,5,2.7,True,Ore,0.40663967994091155
50,40,95,10,10,5,2.7,False,Waste,0.1924273820831411
50,40,100,10,10,5,2.7,False,Waste,0.1924273820831411
60,40,80,10,10,5,2.7,True,Ore,0.40663967994091155
60,40,85,10,10,5,2.7,True,Ore,0.40663967994091155
60,40,90,10,10,5,2.7,False,Waste,0.1924273820831411
60,40,95,10,10,5,2.7,False,Waste,0.1924273820831411
60,40,100,10,10,5,2.7,False,Waste,0.1924273820831411
70,40,80,10,10,5,2.7,True,Ore,0.40663967994091155
70,40,85,10,10,5,2.7,True,Ore,0.40663967994091155
70,40,90,10,10,5,2.7,False,Waste,0.1924273820831411
70,40,95,10,10,5,2.7,False,Waste,0.1924273820831411
70,40,100,10,10,5,2.7,False,Waste,0.1924273820831411
80,40,80,10,10,5,2.7,True,Ore,0.40663967994091155
80,40,85,10,10,5,2.7,False,Waste,0.1924273820831411
80,40,90,10,10,5,2.7,False,Waste,0.1924273820831411
80,40,95,10,10,5,2.7,False,Waste,0.1924273820831411
80,40,100,10,10,5,2.7,False,Waste,0.1924273820831411
90,40,80,10,10,5,2.7,True,Ore,0.40663967994091155
90,40,85,10,10,5,2.7,False,Waste,0.1924273820831411
90,40,90,10,10,5,2.7,False,Waste,0.1924273820831411
90,40,95,10,10,5,2.7,False,Waste,0.1924273820831411
90,40,100,10,10,5,2.7,False,Waste,0.1924273820831411
100,40,80,10,10,5,2.7,True,Ore,0.40663967994091155
100,40,85,10,10,5,2.7,False,Waste,0.1924273820831411
100,40,90,10,10,5,2.7,False,Waste,0.1924273820831411
100,40,95,10,10,5,2.7,False,Waste,0.1924273820831411
100,40,100,10,10,5,2.7,False,Waste,0.1924273820831411
0,50,80,10,10,5,2.7,True,Ore,0.40663967994091155
0,50,85,10,10,5,2.7,True,Ore,0.40663967994091155
0,50,90,10,10,5,2.7,True,Ore,0.40663967994091155
0,50,95,10,10,5,2.7,True,Ore,0.40663967994091155
0,50,100,10,10,5,2.7,False,Waste,0.1924273820831411
10,50,80,10,10,5,2.7,True,Ore,0.40663967994091155
10,50,85,10,10,5,2.7,True,Ore,0.40663967994091155
10,50,90,10,10,5,2.7,True,Ore,0.40663967994091155
10,50,95,10,10,5,2.7,True,Ore,0.40663967994091155
10,50,100,10,10,5,2.7,False,Waste,0.1924273820831411
20,50,80,10,10,5,2.7,True,Ore,0.40663967994091155
20,50,85,10,10,5,2.7,True,Ore,0.40663967994091155
20,50,90,10,10,5,2.7,True,Ore,0.40663967994091155
20,50,95,10,10,5,2.7,True,Ore,0.40663967994091155
20,50,100,10,10,5,2.7,False,Waste,0.1924273820831411
30,50,80,10,10,5,2.7,True,Ore,0.40663967994091155
30,50,85,10,10,5,2.7,True,Ore,0.40663967994091155
30,50,90,10,10,5,2.7,True,Ore,0.40663967994091155
30,50,95,10,10,5,2.7,False,Waste,0.1924273820831411
30,50,100,10,10,5,2.7,False,Waste,0.1924273820831411
40,50,80,10,10,5,2.7,True,Ore,0.40663967994091155
40,50,85,10,10,5,2.7,True,Ore,0.40663967994091155
40,50,90,10,10,5,2.7,True,Ore,0.40663967994091155
40,50,95,10,10,5,2.7,False,Waste,0.1924273820831411
40,50,100,10,10,5,2.7,False,Waste,0.1924273820831411
50,50,80,10,10,5,2.7,True,Ore,0.40663967994091155
50,50,85,10,10,5,2.7,True,Ore,0.40663967994091155
50,50,90,10,10,5,2.7,False,Waste,0.1924273820831411
50,50,95,10,10,5,2.7,False,Waste,0.1924273820831411
50,50,100,10,10,5,2.7,False,Waste,0.1924273820831411
60,50,80,10,10,5,2.7,True,Ore,0.40663967994091155
60,50,85,10,10,5,2.7,True,Ore,0.40663967994091155
60,50,90,10,10,5,2.7,False,Waste,0.1924273820831411
60,50,95,10,10,5,2.7,False,Waste,0.1924273820831411
60,50,100,10,10,5,2.7,False,Waste,0.1924273820831411
70,50,80,10,10,5,2.7,True,Ore,0.40663967994091155
70,50,85,10,10,5,2.7,True,Ore,0.40663967994091155
70,50,90,10,10,5,2.7,False,Waste,0.1924273820831411
70,50,95,10,10,5,2.7,False,Waste,0.1924273820831411
70,50,100,10,10,5,2.7,False,Waste,0.1924273820831411
80,50,80,10,10,5,2.7,True,Ore,0.40663967994091155
80,50,85,10,10,5,2.7,False,Waste,0.1924273820831411
80,50,90,10,10,5,2.7,False,Waste,0.1924273820831411
80,50,95,10,10,5,2.7,False,Waste,0.1924273820831411
80,50,100,10,10,5,2.7,False,Waste,0.1924273820831411
90,50,80,10,10,5,2.7,True,Ore,0.40663967994091155
90,50,85,10,10,5,2.7,False,Waste,0.1924273820831411
90,50,90,10,10,5,2.7,False,Waste,0.1924273820831411
90,50,95,10,10,5,2.7,False,Waste,0.1924273820831411
90,50,100,10,10,5,2.7,False,Waste,0.1924273820831411
100,50,80,10,10,5,2.7,False,Waste,0.1924273820831411
100,50,85,10,10,5,2.7,False,Waste,0.1924273820831411
100,50,90,10,10,5,2.7,False,Waste,0.1924273820831411
100,50,95,10,10,5,2.7,False,Waste,0.1924273820831411
100,50,100,10,10,5,2.7,False,Waste,0.1924273820831411
0,60,80,10,10,5,2.7,True,Ore,0.40663967994091155
0,60,85,10,10,5,2.7,True,Ore,0.40663967994091155
0,60,90,10,10,5,2.7,True,Ore,0.40663967994091155
0,60,95,10,10,5,2.7,True,Ore,0.40663967994091155
0,60,100,10,10,5,2.7,False,Waste,0.1924273820831411
10,60,80,10,10,5,2.7,True,Ore,0.40663967994091155
10,60,85,10,10,5,2.7,True,Ore,0.40663967994091155
10,60,90,10,10,5,2.7,True,Ore,0.40663967994091155
10,60,95,10,10,5,2.7,True,Ore,0.40663967994091155
10,60,100,10,10,5,2.7,False,Waste,0.1924273820831411
20,60,80,10,10,5,2.7,True,Ore,0.40663967994091155
20,60,85,10,10,5,2.7,True,Ore,0.40663967994091155
20,60,90,10,10,5,2.7,True,Ore,0.40663967994091155
20,60,95,10,10,5,2.7,False,Waste,0.1924273820831411
20,60,100,10,10,5,2.7,False,Waste,0.1924273820831411
30,60,80,10,10,5,2.7,True,Ore,0.40663967994091155
30,60,85,10,10,5,2.7,True,Ore,0.40663967994091155
30,60,90,10,10,5,2.7,True,Ore,0.40663967994091155
30,60,95,10,10,5,2.7,False,Waste,0.1924273820831411
30,60,100,10,10,5,2.7,False,Waste,0.1924273820831411
40,60,80,10,10,5,2.7,True,Ore,0.40663967994091155
40,60,85,10,10,5,2.7,True,Ore,0.40663967994091155
40,60,90,10,10,5,2.7,True,Ore,0.40663967994091155
40,60,95,10,10,5,2.7,False,Waste,0.1924273820831411
40,60,100,10,10,5,2.7,False,Waste,0.1924273820831411
50,60,80,10,10,5,2.7,True,Ore,0.40663967994091155
50,60,85,10,10,5,2.7,True,Ore,0.40663967994091155
50,60,90,10,10,5,2.7,False,Waste,0.1924273820831411
50,60,95,10,10,5,2.7,False,Waste,0.1924273820831411
50,60,100,10,10,5,2.7,False,Waste,0.1924273820831411
60,60,80,10,10,5,2.7,True,Ore,0.40663967994091155
60,60,85,10,10,5,2.7,True,Ore,0.40663967994091155
60,60,90,10,10,5,2.7,False,Waste,0.1924273820831411
60,60,95,10,10,5,2.7,False,Waste,0.1924273820831411
60,60,100,10,10,5,2.7,False,Waste,0.1924273820831411
70,60,80,10,10,5,2.7,True,Ore,0.40663967994091155
70,60,85,10,10,5,2.7,False,Waste,0.1924273820831411
70,60,90,10,10,5,2.7,False,Waste,0.1924273820831411
70,60,95,10,10,5,2.7,False,Waste,0.1924273820831411
70,60,100,10,10,5,2.7,False,Waste,0.1924273820831411
80,60,80,10,10,5,2.7,True,Ore,0.40663967994091155
80,60,85,10,10,5,2.7,False,Waste,0.1924273820831411
80,60,90,10,10,5,2.7,False,Waste,0.1924273820831411
80,60,95,10,10,5,2.7,False,Waste,0.1924273820831411
80,60,100,10,10,5,2.7,False,Waste,0.1924273820831411
90,60,80,10,10,5,2.7,True,Ore,0.40663967994091155
90,60,85,10,10,5,2.7,False,Waste,0.1924273820831411
90,60,90,10,10,5,2.7,False,Waste,0.1924273820831411
90,60,95,10,10,5,2.7,False,Waste,0.1924273820831411
90,60,100,10,10,5,2.7,False,Waste,0.1924273820831411
100,60,80,10,10,5,2.7,False,Waste,0.1924273820831411
100,60,85,10,10,5,2.7,False,Waste,0.1924273820831411
100,60,90,10,10,5,2.7,False,Waste,0.1924273820831411
100,60,95,10,10,5,2.7,False,Waste,0.1924273820831411
100,60,100,10,10,5,2.7,False,Waste,0.1924273820831411
0,70,80,10,10,5,2.7,True,Ore,0.40663967994091155
0,70,85,10,10,5,2.7,True,Ore,0.40663967994091155
0,70,90,10,10,5,2.7,True,Ore,0.40663967994091155
0,70,95,10,10,5,2.7,True,Ore,0.40663967994091155
0,70,100,10,10,5,2.7,False,Waste,0.1924273820831411
10,70,80,10,10,5,2.7,True,Ore,0.40663967994091155
10,70,85,10,10,5,2.7,True,Ore,0.40663967994091155
10,70,90,10,10,5,2.7,True,Ore,0.40663967994091155
10,70,95,10,10,5,2.7,True,Ore,0.40663967994091155
10,70,100,10,10,5,2.7,False,Waste,0.1924273820831411
20,70,80,10,10,5,2.7,True,Ore,0.40663967994091155
20,70,85,10,10,5,2.7,True,Ore,0.40663967994091155
20,70,90,10,10,5,2.7,True,Ore,0.40663967994091155
20,70,95,10,10,5,2.7,False,Waste,0.1924273820831411
20,70,100,10,10,5,2.7,False,Waste,0.1924273820831411
30,70,80,10,10,5,2.7,True,Ore,0.40663967994091155
30,70,85,10,10,5,2.7,True,Ore,0.40663967994091155
30,70,90,10,10,5,2.7,True,Ore,0.40663967994091155
30,70,95,10,10,5,2.7,False,Waste,0.1924273820831411
30,70,100,10,10,5,2.7,False,Waste,0.1924273820831411
40,70,80,10,10,5,2.7,True,Ore,0.40663967994091155
40,70,85,10,10,5,2.7,True,Ore,0.40663967994091155
40,70,90,10,10,5,2.7,False,Waste,0.1924273820831411
40,70,95,10,10,5,2.7,False,Waste,0.1924273820831411
40,70,100,10,10,5,2.7,False,Waste,0.1924273820831411
50,70,80,10,10,5,2.7,True,Ore,0.40663967994091155
50,70,85,10,10,5,2.7,True,Ore,0.40663967994091155
50,70,90,10,10,5,2.7,False,Waste,0.1924273820831411
50,70,95,10,10,5,2.7,False,Waste,0.1924273820831411
50,70,100,10,10,5,2.7,False,Waste,0.1924273820831411
60,70,80,10,10,5,2.7,True,Ore,0.40663967994091155
60,70,85,10,10,5,2.7,True,Ore,0.40663967994091155
60,70,90,10,10,5,2.7,False,Waste,0.1924273820831411
60,70,95,10,10,5,2.7,False,Waste,0.1924273820831411
60,70,100,10,10,5,2.7,False,Waste,0.1924273820831411
70,70,80,10,10,5,2.7,True,Ore,0.40663967994091155
70,70,85,10,10,5,2.7,False,Waste,0.1924273820831411
70,70,90,10,10,5,2.7,False,Waste,0.1924273820831411
70,70,95,10,10,5,2.7,False,Waste,0.1924273820831411
70,70,100,10,10,5,2.7,False,Waste,0.1924273820831411
80,70,80,10,10,5,2.7,True,Ore,0.40663967994091155
80,70,85,10,10,5,2.7,False,Waste,0.1924273820831411
80,70,90,10,10,5,2.7,False,Waste,0.1924273820831411
80,70,95,10,10,5,2.7,False,Waste,0.1924273820831411
80,70,100,10,10,5,2.7,False,Waste,0.1924273820831411
90,70,80,10,10,5,2.7,False,Waste,0.1924273820831411
90,70,85,10,10,5,2.7,False,Waste,0.1924273820831411
90,70,90,10,10,5,2.7,False,Waste,0.1924273820831411
90,70,95,10,10,5,2.7,False,Waste,0.1924273820831411
90,70,100,10,10,5,2.7,False,Waste,0.1924273820831411
100,70,80,10,10,5,2.7,False,Waste,0.1924273820831411
100,70,85,10,10,5,2.7,False,Waste,0.1924273820831411
100,70,90,10,10,5,2.7,False,Waste,0.1924273820831411
100,70,95,10,10,5,2.7,False,Waste,0.1924273820831411
100,70,100,10,10,5,2.7,False,Waste,0.1924273820831411
0,80,80,10,10,5,2.7,True,Ore,0.40663967994091155
0,80,85,10,10,5,2.7,True,Ore,0.40663967994091155
0,80,90,10,10,5,2.7,True,Ore,0.40663967994091155
0,80,95,10,10,5,2.7,True,Ore,0.40663967994091155
0,80,100,10,10,5,2.7,False,Waste,0.1924273820831411
10,80,80,10,10,5,2.7,True,Ore,0.40663967994091155
10,80,85,10,10,5,2.7,True,Ore,0.40663967994091155
10,80,90,10,10,5,2.7,True,Ore,0.40663967994091155
10,80,95,10,10,5,2.7,False,Waste,0.1924273820831411
